DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
6-Oct-18,South Africa,Zimbabwe,South Africa,4 wickets,Boland Park,Yes
10-Oct-18,Sri Lanka,England,NaN,NaN,Dambulla,No
13-Oct-18,Sri Lanka,England,England,31 runs,Dambulla,Yes
17-Oct-18,Sri Lanka,England,England,7 wickets,Pallekele,Yes
20-Oct-18,Sri Lanka,England,England,18 runs,Pallekele,Yes
21-Oct-18,Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,Yes
21-Oct-18,India,West Indies,India,8 wickets,Barsapara Cricket Stadium,Yes
23-Oct-18,Sri Lanka,England,Sri Lanka,219 runs,Colombo,Yes
24-Oct-18,India,West Indies,NaN,NaN,Reddy cricket stadium,No
24-Oct-18,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Zahur Ahmed Choudhury Stadium,Yes
26-Oct-18,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Zahur Ahmed Choudhury Stadium,Yes
27-Oct-18,India,West Indies,West Indies,43 runs,Maharastra,Yes
29-Oct-18,India,West Indies,India,224 runs,Brabourne Stadium,Yes
1-Nov-18,India,West Indies,India,9 wickets,Greenfield Stadium,Yes
4-Nov-18,Australia,South Africa,South Africa,6 wickets,Perth,Yes
7-Nov-18,Pakistan,NewZeland,NewZeland,47 runs,Abu Dhabi,Yes
9-Nov-18,Australia,South Africa,Australia,7 runs,Adelaide,Yes
9-Nov-18,Pakistan,NewZeland,Pakistan,6 wickets,Abu Dhabi,Yes
11-Nov-18,Australia,South Africa,South Africa,40 runs,Bellerive Oval,Yes
11-Nov-18,Pakistan,NewZeland,NaN,NaN,Dubai,No
9-Dec-18,Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,Yes
11-Dec-18,Bangladesh,West Indies,West Indies,4 wickets,Mirpur,Yes
14-Dec-18,Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,Yes
3-Jan-19,NewZeland,Sri Lanka,NewZeland,45 runs,Bay Oval,Yes
5-Jan-19,NewZeland,Sri Lanka,NewZeland,21 runs,Bay Oval,Yes
8-Jan-19,NewZeland,Sri Lanka,NewZeland,115 runs,Saxton Oval,Yes
12-Jan-19,Australia,India,Australia,34 runs,Sydney,Yes
15-Jan-19,Australia,India,India,6 wickets,Adelaide,Yes
18-Jan-19,Australia,India,India,7 wickets,Melbourne,Yes
19-Jan-19,South Africa,Pakistan,Pakistan,5 wickets,St George's Park,Yes
22-Jan-19,South Africa,Pakistan,South Africa,5 wickets,Kingsmead,Yes
23-Jan-19,NewZeland,India,India,8 wickets,Mclean Park,Yes
25-Jan-19,UAE,Nepal,UAE,3 wickets,ICC GCA,Yes
25-Jan-19,South Africa,Pakistan,South Africa,13 runs,SuperSport Park,Yes
26-Jan-19,NewZeland,India,India,90 runs,Bay Oval,Yes
26-Jan-19,UAE,Nepal,Nepal,145 runs,ICC GCA,Yes
27-Jan-19,South Africa,Pakistan,Pakistan,8 wickets,wanderer's Stadium,Yes
28-Jan-19,NewZeland,India,India,7 wickets,Bay Oval,Yes
28-Jan-19,UAE,Nepal,Nepal,4 wickets,ICC GCA,Yes
30-Jan-19,South Africa,Pakistan,South Africa,7 wickets,Newlands,Yes
31-Jan-19,NewZeland,India,NewZeland,8 wickets,Seddon Park,Yes
3-Feb-19,NewZeland,India,India,35 runs,Sky Stadium,Yes
13-Feb-19,NewZeland,Bangladesh,NewZeland,8 wickets,Mclean Park,Yes
16-Feb-19,NewZeland,Bangladesh,NewZeland,8 wickets,Hagley Oval,Yes
20-Feb-19,West Indies,England,England,6 wickets,Kensington Oval,Yes
20-Feb-19,NewZeland,Bangladesh,NewZeland,88 runs,University Oval,Yes
22-Feb-19,West Indies,England,West Indies,26 runs,Kensington Oval,Yes
25-Feb-19,West Indies,England,NaN,NaN,Grenada,No
27-Feb-19,West Indies,England,England,29 runs,Grenada,Yes
28-Feb-19,Ireland,Afganisthan,Afganisthan,5 wickets,Hyderabad,Yes
1-Mar-19,West Indies,England,West Indies,7 wickets,Darren Sammy NCS,Yes
2-Mar-19,India,Australia,India,6 wickets,Hyderabad,Yes
2-Mar-19,Ireland,Afganisthan,NaN,NaN,Hyderabad,No
3-Mar-19,South Africa,Sri Lanka,South Africa,8 wickets,wanderer's Stadium,Yes
5-Mar-19,India,Australia,India,8 runs,Vidharva,Yes
5-Mar-19,Ireland,Afganisthan,Ireland,4 wickets,Hyderabad,Yes
6-Mar-29,South Africa,Sri Lanka,South Africa,113 runs,SuperSport Park,Yes
8-Mar-19,India,Australia,Australia,32 runs,Ranchi,Yes
8-Mar-19,Ireland,Afganisthan,Afganisthan,109 ruuns,Hyderabad,Yes
10-Mar-19,South Africa,Sri Lanka,South Africa,71 runs,Kingsmead,Yes
10-Mar-19,India,Australia,Australia,4 wickets,Punjab,Yes
10-Mar-19,Ireland,Afganisthan,Ireland,5 wickets,Hyderabad,Yes
13-Mar-19,South Africa,Sri Lanka,South Africa,6 wickets,St George's Park,Yes
13-Mar-19,India,Australia,Australia,35 runs,Delhi,Yes
16-Mar-19,South Africa,Sri Lanka,South Africa,41 runs,Newlands,Yes
22-Mar-19,Pakistan,Australia,Australia,8 wickets,Sharjah,Yes
23-Mar-19,Pakistan,Australia,Australia,8 wickets,Sharjah,Yes
27-Mar-19,Pakistan,Australia,Australia,80 runs,Abu Dhabi,Yes
29-Mar-19,Pakistan,Australia,Australia,6 runs,Dubai,Yes
31-Mar-19,Pakistan,Australia,Australia,20 runs,Dubai,Yes
10-Apr-19,Zimbabwe,UAE,Zimbabwe,7 wickets,Harare,Yes
12-Apr-19,Zimbabwe,UAE,Zimbabwe,4 runs,Harare,Yes
13-Apr-19,Zimbabwe,UAE,Zimbabwe,131 runs,Harare,Yes
16-Apr-19,Zimbabwe,UAE,Zimbabwe,3 wickets,Harare,Yes
27-Apr-19,PNG,USA,PNG,5 wickets,Affies Park,Yes
27-Apr-19,Namibia,Oman,Namibia,145 runs,wanderer's Stadium,Yes
3-May-19,Ireland,England,England,4 wickets,Village,Yes
5-May-19,Ireland,West Indies,West Indies,196 runs,Castle Avenue,Yes
7-May-19,Bangladesh,West Indies,Bangladesh,8 wickets,Castle Avenue,Yes
8-May-19,England,Pakistan,NaN,NaN,Kensington Oval,No
8-May-19,Scotland,Afganisthan,NaN,NaN,Grange Cricket Club,No
9-May-19,Ireland,Bangladesh,NaN,NaN,Village,No
10-May-19,Scotland,Afganisthan,Afganisthan,2 runs,Grange Cricket Club,Yes
11-May-19,England,Pakistan,England,12 runs,The Rose Bowl,Yes
11-May-19,Ireland,West Indies,West Indies,5 wickets,Village,Yes
13-May-19,Bangladesh,West Indies,Bangladesh,5 wickets,Village,Yes
14-May-19,England,Pakistan,England,6 wickets,Bristol,Yes
15-May-19,Ireland,Bangladesh,Bangladesh,6 wickets,Castle Avenue,Yes
17-May-19,England,Pakistan,England,3 wickets,Trent Bridge,Yes
17-May-19,Bangladesh,West Indies,Bangladesh,5 wickets,Village,Yes
18-May-19,Scotland,Sri Lanka,NaN,NaN,Grange Cricket Club,No
19-May-19,Ireland,Afganisthan,Ireland,72 runs,Civil Service Cricket Club,Yes
19-May-19,England,Pakistan,England,54 runs,Headingly,Yes
21-May-19,Ireland,Afganisthan,Afganisthan,126 runs,Civil Service Cricket Club,Yes
21-May-19,Scotland,Sri Lanka,Sri Lanka,35 runs,Grange Cricket Club,Yes
30-May-19,England,South Africa,England,104 runs,Kensington Oval,Yes
31-May-19,Pakistan,West Indies,West Indies,7 wickets,Trent Bridge,Yes
1-Jun-19,NewZeland,Sri Lanka,NewZeland,10 wickets,Sophia Garden,Yes
1-Jun-19,Afganisthan,Australia,Australia,7 wickets,Bristol,Yes
2-Jun-19,Bangladesh,South Africa,Bangladesh,21 runs,Kensington Oval,Yes
3-Jun-19,England,Pakistan,Pakistan,14 runs,Trent Bridge,Yes
4-Jun-19,Afganisthan,Sri Lanka,Sri Lanka,34 runs,Sophia Garden,Yes
5-Jun-19,India,South Africa,India,6 wickets,The Rose Bowl,Yes
5-Jun-19,Bangladesh,NewZeland,NewZeland,2 wickets,Kensington Oval,Yes
6-Jun-19,Australia,West Indies,Australia,15 runs,Trent Bridge,Yes
7-Jun-19,Pakistan,Sri Lanka,NaN,NaN,Bristol,No
8-Jun-19,England,Bangladesh,England,106 runs,Sophia Garden,Yes
8-Jun-19,Afganisthan,NewZeland,NewZeland,7 wickets,The Cooper Associates County Ground,Yes
9-Jun-19,Australia,India,India,36 runs,Kensington Oval,Yes
10-Jun-19,South Africa,West Indies,NaN,NaN,The Rose Bowl,No
11-Jun-19,Bangladesh,Sri Lanka,NaN,NaN,Bristol,No
12-Jun-19,Australia,Pakistan,Australia,41 runs,The Cooper Associates County Ground,Yes
13-Jun-19,India,NewZeland,NaN,NaN,Trent Bridge,No
14-Jun-19,England,West Indies,England,8 wickets,The Rose Bowl,Yes
15-Jun-19,Australia,Sri Lanka,Australia,87 runs,Kensington Oval,Yes
15-Jun-19,Afganisthan,South Africa,South Africa,9 wickets,Sophia Garden,Yes
16-Jun-19,India,Pakistan,India,89 runs,Old Trafford,Yes
17-Jun-19,Bangladesh,West Indies,Bangladesh,7 wickets,The Cooper Associates County Ground,Yes
18-Jun-19,England,Afganisthan,England,150 runs,Old Trafford,Yes
19-Jun-19,Netherlands,Zimbabwe,Netherlands,7 wickets,Sportspark Het Schootsveld,Yes
19-Jun-19,NewZeland,South Africa,NewZeland,4 wickets,Edgebaston,Yes
20-Jun-19,Australia,Bangladesh,Australia,48 runs,Trent Bridge,Yes
21-Jun-19,Netherlands,Zimbabwe,Netherlands,3 wickets,Sportspark Het Schootsveld,Yes
21-Jun-19,England,Sri Lanka,Sri Lanka,20 runs,Headingly,Yes
22-Jun-19,Afganisthan,India,India,11 runs,The Rose Bowl,Yes
22-Jun-19,NewZeland,West Indies,NewZeland,5 runs,Old Trafford,Yes
23-Jun-19,Pakistan,South Africa,Pakistan,49 runs,Lords,Yes
24-Jun-19,Afganisthan,Bangladesh,Bangladesh,62 runs,The Rose Bowl,Yes
25-Jun-19,England,Australia,Australia,64 runs,Lords,Yes
26-Jun-19,NewZeland,Pakistan,Pakistan,6 wickets,Edgebaston,Yes
27-Jun-19,India,West Indies,India,125 runs,Old Trafford,Yes
28-Jun-19,South Africa,Sri Lanka,South Africa,9 wickets,Riverside Ground,Yes
29-Jun-19,Afganisthan,Pakistan,Pakistan,3 wickets,Headingly,Yes
29-Jun-19,Australia,NewZeland,Australia,86 runs,Lords,Yes
30-Jun-19,England,India,England,31 runs,Edgebaston,Yes
1-Jul-19,Ireland,Zimbabwe,Ireland,4 wickets,Bready Cricket Club,Yes
1-Jul-19,Sri Lanka,West Indies,Sri Lanka,23 runs,Riverside Ground,Yes
2-Jul-19,Bangladesh,India,India,28 runs,Edgebaston,Yes
3-Jul-19,England,NewZeland,England,119 runs,Riverside Ground,Yes
4-Jul-19,Ireland,Zimbabwe,Ireland,5 runs,Civil Service Cricket Club,Yes
4-Jul-19,Afganisthan,West Indies,West Indies,23 runs,Headingly,Yes
5-Jul-19,Bangladesh,Pakistan,Pakistan,94 runs,Lords,Yes
6-Jul-19,India,Sri Lanka,India,7 wickets,Headingly,Yes
6-Jul-19,Australia,South Africa,South Africa,10 runs,Old Trafford,Yes
7-Jul-19,Ireland,Zimbabwe,Ireland,6 wickets,Civil Service Cricket Club,Yes
9-Jul-19,India,NewZeland,NewZeland,18 runs,Old Trafford,Yes
11-Jul-19,England,Australia,England,8 wickets,Edgebaston,Yes
14-Jul-19,England,NewZeland,England,NaN,Lords,No
26-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo,Yes
28-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo,Yes
31-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo,Yes
8-Aug-19,West Indies,India,NaN,NaN,Providence stadium,No
11-Aug-19,West Indies,India,India,59 runs,Queen's Park Oval,Yes
14-Aug-19,Oman ,PNG,Oman,4 wickets,Mannofield Park,Yes
14-Aug-19,West Indies,India,India,6 wickets,Queen's Park Oval,Yes
15-Aug-19,Scotland,Oman,Oman,8 wickets,Mannofield Park,Yes
17-Aug-19,Scotland,PNG,Scotland,3 wickets,Mannofield Park,Yes
18-Aug-19,Scotland,Oman,Scotland,85 runs,Mannofield Park,Yes
20-Aug-19,Scotland,PNG,Scotland,38 runs,Mannofield Park,Yes
21-Aug-19,Oman ,PNG,Oman,4 wickets,Mannofield Park,Yes
13-Sep-19,USA,PNG,USA,5 runs,Central Broward Regional Park,Yes
17-Sep-19,USA,Namibia,USA,5 wickets,Central Broward Regional Park,Yes
19-Sep-19,USA,PNG,USA,62 runs,Central Broward Regional Park,Yes
20-Sep-19,USA,Namibia,Namibia,139 runs,Central Broward Regional Park,Yes
22-Sep-19,Namibia,PNG,Namibia,4 wickets,Central Broward Regional Park,Yes
23-Sep-19,Namibia,PNG,Namibia,27 runs,Central Broward Regional Park,Yes
27-Sep-19,Pakistan,Sri Lanka,NaN,NaN,Karachi,No
30-Sep-19,Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,Yes
2-Oct-19,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,Yes
6-Nov-19,Afganisthan,West Indies,West Indies,7 wickets,Lucknow,Yes
9-Nov-19,Afganisthan,West Indies,West Indies,47 runs,Lucknow,Yes
11-Nov-19,Afganisthan,West Indies,West Indies,5 wickets,Lucknow,Yes
8-Dec-19,UAE,USA,USA,3 wickets,Sharjah,Yes
9-Dec-19,Scotland,USA,USA,35 runs,Sharjah,Yes
11-Dec-19,UAE,Scotland,NaN,NaN,Sharjah,No
12-Dec-19,UAE,USA,USA,98 runs,ICC GCA,Yes
14-Dec-19,Scotland,USA,Scotland,4 wickets,ICC GCA,Yes
15-Dec-19,India,West Indies,West Indies,8 wickets,Bengaluru,Yes
15-Dec-19,UAE,Scotland,UAE,7 wickets,ICC GCA,Yes
18-Dec-19,India,West Indies,India,107 runs,Reddy cricket stadium,Yes
22-Dec-19,India,West Indies,India,4 wickets,Mumbai,Yes
5-Jan-20,Oman ,UAE,Oman,5 wickets,Al Amerat Cricket Ground ministry Turf 1,Yes
6-Jan-20,Namibia,UAE,UAE,8 runs,Al Amerat Cricket Ground ministry Turf 1,Yes
7-Jan-20,West Indies,Ireland,West Indies,5 wickets,Kensington Oval,Yes
8-Jan-20,Oman ,Namibia,Namibia,52 runs,Al Amerat Cricket Ground ministry Turf 1,Yes
9-Jan-20,West Indies,Ireland,West Indies,1 wicket,Kensington Oval,Yes
9-Jan-20,Namibia,UAE,UAE,8 wickets,Al Amerat Cricket Ground ministry Turf 1,Yes
11-Jan-20,Oman ,UAE,NaN,NaN,Al Amerat Cricket Ground ministry Turf 1,No
12-Jan-20,West Indies,Ireland,West Indies,5 wickets,Grenada,Yes
12-Jan-20,Oman ,Namibia,NaN,NaN,Al Amerat Cricket Ground ministry Turf 1,No
14-Jan-20,India,Australia,Australia,10 wickets,Mumbai,Yes
17-Jan-20,India,Australia,India,36 runs,Sourashtra,Yes
19-Jan-20,India,Australia,India,7 wickets,Bengaluru,Yes
4-Feb-20,South Africa,England,South Africa,7 wickets,Newlands,Yes
5-Feb-20,NewZeland,India,NewZeland,4 wickets,Seddon Park,Yes
5-Feb-20,Nepal,Oman,Oman,18 runs,Tribhuvan,Yes
6-Feb-20,Oman ,USA,Oman,6 wickets,Tribhuvan,Yes
7-Feb-20,South Africa,England,NaN,NaN,Kingsmead,No
8-Feb-20,NewZeland,India,NewZeland,22 runs,Eden Park,Yes
8-Feb-20,Nepal,USA,Nepal,35 runs,Tribhuvan,Yes
9-Feb-20,South Africa,England,England,2 wickets,wanderer's Stadium,Yes
9-Feb-20,Nepal,Oman,Oman,8 wickets,Tribhuvan,Yes
11-Feb-20,NewZeland,India,NewZeland,5 wickets,Bay Oval,Yes
11-Feb-20,Oman ,USA,Oman,92 runs,Tribhuvan,Yes
12-Feb-20,Nepal,USA,Nepal,8 wickets,Tribhuvan,Yes
22-Feb-20,Sri Lanka,West Indies,Sri Lanka,1 wicket,Singhalese Sports club Ground,Yes
26-Feb-20,Sri Lanka,West Indies,Sri Lanka,161 runs,Mahinda Rajapaksha Interntional cricket stadium,Yes
29-Feb-20,South Africa,Australia,South Africa,74 runs,Boland Park,Yes
1-Mar-20,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,Yes
1-Mar-20,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,Yes
3-Mar-20,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,Yes
4-Mar-20,South Africa,Australia,South Africa,6 wickets,Mangaung Oval,Yes
6-Mar-20,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,Yes
7-Mar-20,South Africa,Australia,South Africa,6 wickets,Senwes Stadium,Yes
12-Mar-20,India,South Africa,NaN,NaN,Himachal Pradesh,No
13-Mar-20,Australia,NewZeland,Australia,71 runs,Sydney,Yes
15-Mar-20,India,South Africa,NaN,NaN,Lucknow,No
18-Mar-20,India,South Africa,NaN,NaN,Eden Gardens,No
1-Apr-20,USA,UAE,NaN,NaN,Central Broward Regional Park,No
2-Apr-20,Scotland,UAE,NaN,NaN,Central Broward Regional Park,No
4-Apr-20,USA,Scotland,NaN,NaN,Central Broward Regional Park,No
5-Apr-20,USA,UAE,NaN,NaN,Central Broward Regional Park,No
7-Apr-20,Scotland,UAE,NaN,NaN,Central Broward Regional Park,No
8-Apr-20,USA,Scotland,NaN,NaN,Central Broward Regional Park,No
30-Jul-20,England,Ireland,England,6 wickets,The Rose Bowl,Yes
1-Aug-20,England,Ireland,England,4 wickets,The Rose Bowl,Yes
4-Aug-20,England,Ireland,Ireland,7 wickets,The Rose Bowl,Yes
11-Sep-20,England,Australia,Australia,19 runs,Old Trafford,Yes
13-Sep-20,England,Australia,England,24 runs,Old Trafford,Yes
16-Sep-20,England,Australia,Australia,3 wickets,Old Trafford,Yes
30-Oct-20,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,Yes
1-Nov-20,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,Yes
3-Nov-20,Pakistan,Zimbabwe,Zimbabwe,NaN,Rawalpindi,No
27-Nov-20,Australia,India,Australia,66 runs,Sydney,Yes
29-Nov-20,Australia,India,Australia,51 runs,Sydney,Yes
2-Dec-20,Australia,India,India,13 runs,Manuka Oval,Yes
8-Jan-21,UAE,Ireland,UAE,6 wickets,Abu Dhabi,Yes
12-Jan-21,UAE,Ireland,NaN,NaN,Abu Dhabi,No
14-Jan-21,UAE,Ireland,NaN,NaN,Abu Dhabi,No
18-Jan-21,UAE,Ireland,Ireland,112 runs,Abu Dhabi,Yes
20-Jan-21,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,Yes
21-Jan-21,Afganisthan,Ireland,Afganisthan,16 runs,Abu Dhabi,Yes
22-Jan-21,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,Yes
24-Jan-21,Afganisthan,Ireland,Afganisthan,7 wickets,Abu Dhabi,Yes
25-Jan-21,Bangladesh,West Indies,Bangladesh,120 runs,Zahur Ahmed Choudhury Stadium,Yes
26-Jan-21,Afganisthan,Ireland,Afganisthan,36 runs,Abu Dhabi,Yes
10-Mar-21,West Indies,Sri Lanka,West Indies,8 wickets,SVVR Stadium,Yes
12-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,SVVR Stadium,Yes
14-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,SVVR Stadium,Yes
20-Mar-21,NewZeland,Bangladesh,NewZeland,8 wickets,University Oval,Yes
23-Mar-21,India,England,India,66 runs,Maharastra,Yes
23-Mar-21,NewZeland,Bangladesh,NewZeland,5 wickets,Hagley Oval,Yes
26-Mar-21,India,England,England,6 wickets,Maharastra,Yes
26-Mar-21,NewZeland,Bangladesh,NewZeland,164 runs,Basin Reserve,Yes
28-Mar-21,India,England,India,7 runs,Maharastra,Yes
2-Apr-21,South Africa,Pakistan,Pakistan,3 wickets,SuperSport Park,Yes
4-Apr-21,South Africa,Pakistan,South Africa,17 runs,wanderer's Stadium,Yes
7-Apr-21,South Africa,Pakistan,Pakistan,28 runs,SuperSport Park,Yes
19-May-21,Netherlands,Scotland,Netherlands,14 runs,Hazelaarweg,Yes
20-May-21,Netherlands,Scotland,Scotland,6 wickets,Hazelaarweg,Yes
23-May-21,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,Yes
25-May-21,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,Yes
28-May-21,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,Yes
2-Jun-21,Netherlands,Ireland,Netherlands,1 run,Sportspark Maarschalkerweerd,Yes
4-Jun-21,Netherlands,Ireland,Ireland,8 wickets,Sportspark Maarschalkerweerd,Yes
7-Jun-21,Netherlands,Ireland,Netherlands,4 wickets,Sportspark Maarschalkerweerd,Yes
29-Jun-21,England,Sri Lanka,England,5 wickets,Riverside Ground,Yes
1-Jul-21,England,Sri Lanka,England,8 wickets,Kensington Oval,Yes
4-Jul-21,England,Sri Lanka,NaN,NaN,Bristol,No
8-Jul-21,England,Pakistan,England,9 wickets,Sophia Garden,Yes
10-Jul-21,England,Pakistan,England,52 runs,Lords,Yes
11-Jul-21,Ireland,South Africa,NaN,NaN,Village,No
13-Jul-21,Ireland,South Africa,Ireland,43 runs,Village,Yes
13-Jul-21,England,Pakistan,England,3 wickets,Edgebaston,Yes
16-Jul-21,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,Yes
16-Jul-21,Ireland,South Africa,South Africa,70 runs,Village,Yes
18-Jul-21,Sri Lanka,India,India,7 wickets,Colombo,Yes
18-Jul-21,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,Yes
20-Jul-21,West Indies,Australia,Australia,133 runs,Kensington Oval,Yes
20-Jul-21,Sri Lanka,India,India,3 wickets,Colombo,Yes
20-Jul-21,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,Yes
23-Jul-21,Sri Lanka,India,Sri Lanka,3 wickets,Colombo,Yes
24-Jul-21,West Indies,Australia,West Indies,4 wickets,Kensington Oval,Yes
26-Jul-21,West Indies,Australia,Australia,6 wickets,Kensington Oval,Yes
2-Sep-21,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo,Yes
4-Sep-21,Sri Lanka,South Africa,South Africa,67 runs,Colombo,Yes
6-Sep-21,PNG,USA,USA,7 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
7-Sep-21,Nepal,PNG,Nepal,2 wickets,Al Amerat Cricket Ground ministry Turf 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Yes
7-Sep-21,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo,Yes
8-Sep-21,Ireland,Zimbabwe,Zimbabwe,38 runs,Civil Service Cricket Club,Yes
9-Sep-21,PNG,USA,USA,134 runs,Al Amerat Cricket Ground Ministry Turf 2,Yes
10-Sep-21,Ireland,Zimbabwe,NaN,NaN,Civil Service Cricket Club,No
10-Sep-21,Nepal,PNG,Nepal,151 runs,Al Amerat Cricket Ground Ministry Turf 1,Yes
13-Sep-21,Ireland,Zimbabwe,Ireland,7 wickets,Civil Service Cricket Club,Yes
13-Sep-21,Nepal,USA,Nepal,5 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
14-Sep-21,Oman ,Nepal,Oman,5 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
16-Sep-21,Oman ,USA,Oman,4 wickets,Rawalpindi,Yes
17-Sep-21,Pakistan,NewZeland,NaN,NaN,Al Amerat Cricket Ground Ministry Turf 1,No
17-Sep-21,Nepal,USA,USA,6 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
19-Sep-21,Oman ,Nepal,Nepal,7 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
20-Sep-21,Oman ,USA,Oman,72 runs,Al Amerat Cricket Ground Ministry Turf 1,Yes
25-Sep-21,PNG,Scotland,Scotland,6 wickets,Al Amerat Cricket Ground Ministry Turf 2,Yes
26-Sep-21,Oman ,PNG,Oman,110 runs,Al Amerat Cricket Ground Ministry Turf 2,Yes
28-Sep-21,Oman ,Scotland,Scotland,18 runs,Al Amerat Cricket Ground Ministry Turf 2,Yes
29-Sep-21,PNG,Scotland,Scotland,4 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
1-Oct-21,Oman ,PNG,Oman,3 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
2-Oct-21,Oman ,Scotland,NaN,NaN,Al Amerat Cricket Ground Ministry Turf 1,No
26-Nov-21,South Africa,Netherlands,NaN,NaN,SuperSport Park,No
26-Nov-21,Namibia,Oman,Namibia,40 runs,wanderer's Stadium,Yes
27-Nov-21,Namibia,Oman,Oman,9 runs,wanderer's Stadium,Yes
30-Nov-21,Namibia,UAE,NaN,NaN,wanderer's Stadium,No
2-Dec-21,Oman ,UAE,NaN,NaN,wanderer's Stadium,No
4-Dec-21,Namibia,Oman,NaN,NaN,wanderer's Stadium,No
5-Dec-21,Namibia,UAE,NaN,NaN,wanderer's Stadium,No
6-Dec-21,Oman ,UAE,NaN,NaN,wanderer's Stadium,No
8-Jan-22,West Indies,Ireland,West Indies,24 runs,Sabina Park,Yes
13-Jan-22,West Indies,Ireland,Ireland,5 wickets,Sabina Park,Yes
16-Jan-22,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,Yes
16-Jan-22,West Indies,Ireland,Ireland,2 wickets,Sabina Park,Yes
18-Jan-22,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,Yes
19-Jan-22,South Africa,India,South Africa,31 runs,Boland Park,Yes
21-Jan-22,Afganisthan,Netherlands,Afganisthan,36 runs,West End Park International Cricket Stadium,Yes
21-Jan-22,South Africa,India,South Africa,7 wickets,Boland Park,Yes
21-Jan-22,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,Yes
23-Jan-22,South Africa,India,South Africa,48 runs,Newlands,Yes
23-Jan-22,Afganisthan,Netherlands,Afganisthan,4 runs,West End Park International Cricket Stadium,Yes
25-Jan-22,Afganisthan,Netherlands,Afganisthan,75 runs,West End Park International Cricket Stadium,Yes
5-Feb-22,Oman ,UAE,UAE,4 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
6-Feb-22,India,West Indies,India,6 wickets,Ahmedabad,Yes
6-Feb-22,Oman ,UAE,UAE,4 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
8-Feb-22,Oman ,UAE,NaN,NaN,Al Amerat Cricket Ground Ministry Turf 1,No
9-Feb-22,India,West Indies,India,44 runs,Ahmedabad,Yes
11-Feb-22,India,West Indies,India,96 runs,Ahmedabad,Yes
23-Feb-22,Bangladesh,Afganisthan,Bangladesh,4 wickets,Zahur Ahmed Choudhury Stadium,Yes
25-Feb-22,Bangladesh,Afganisthan,Bangladesh,88 runs,Zahur Ahmed Choudhury Stadium,Yes
28-Feb-22,Bangladesh,Afganisthan,Afganisthan,7 wickets,Zahur Ahmed Choudhury Stadium,Yes
5-Mar-22,UAE,Oman,Oman,12 runs,ICC GCA,Yes
6-Mar-22,Namibia,Oman,Namibia,110 runs,ICC GCA,Yes
8-Mar-22,UAE,Namibia,UAE,3 wickets,ICC GCA,Yes
9-Mar-22,UAE,Oman,Oman,8 runs,ICC GCA,Yes
11-Mar-22,Namibia,Oman,Oman,7 wickets,Sharjah,Yes
12-Mar-22,UAE,Namibia,UAE,43 runs,Sharjah,Yes
